IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_y_weight,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max,transformation_model_param_x_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_symmetric_regression,transformation_model_param_slope,transformation_model_param_intercept
23dpg.23dpg_1.Heavy,23dpg.23dpg_1.Light,peak_apex_int,uM,0,0,0.05,0.1,-0.720449417578792,11,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-0.95900737791029,-0.0934899065737605
23dpg.23dpg_1.Heavy,23dpg.23dpg_2.Light,peak_apex_int,uM,0,0,10,1,0.67276786263709,4,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.524486915892147,-0.197690640822113
cit.cit_1.Heavy,2mcit.2mcit_1.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
cit.cit_1.Heavy,2mcit.2mcit_2.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
2obut.2obut_1.Heavy,2obut.2obut_1.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
2obut.2obut_1.Heavy,2obut.2obut_2.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
camp.camp_1.Heavy,35cgmp.35cgmp_1.Light,peak_apex_int,uM,0,0,4e-05,0.2,0.997375015558985,12,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.936872887987288,14.0504976678673
camp.camp_1.Heavy,35cgmp.35cgmp_2.Light,peak_apex_int,uM,0,0,0.4,0.1,0.997502768640516,3,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
5oxpro.5oxpro_1.Heavy,5oxpro.5oxpro_1.Light,peak_apex_int,uM,0,0,8,0.016,0.691540354380207,15,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.453329135720141,3.47519251109417
5oxpro.5oxpro_1.Heavy,5oxpro.5oxpro_2.Light,peak_apex_int,uM,0,0,8,4,1,2,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
6pgc.6pgc_1.Heavy,6pgc.6pgc_1.Light,peak_apex_int,uM,0,0,0.008,0.016,-0.748160808899264,10,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-0.945558412720654,4.99269202191108
AICAr.AICAr_1.Heavy,AICAr.AICAr_1.Light,peak_apex_int,uM,0,0,2,0.004,1,2,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,peak_apex_int,uM,0,0,2,100,0.95895844178649,5,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.656956040502168,9.788628244082
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,peak_apex_int,uM,0,0,0.005,1,0.723910322047454,5,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.186152158726186,10.0562086722952
Lcystin.Lcystin_1.Heavy,Lcystin.Lcystin_1.Light,peak_apex_int,uM,0,0,0.002,0.8,0.996413336050276,9,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.933019400627634,12.1431425949803
Pool_2pg_3pg.Pool_2pg_3pg_1.Heavy,Pool_2pg_3pg.Pool_2pg_3pg_1.Light,peak_apex_int,uM,0,0,0.02,0.04,-0.498770382389279,14,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-0.796168798951181,5.179912976416
Pool_2pg_3pg.Pool_2pg_3pg_1.Heavy,Pool_2pg_3pg.Pool_2pg_3pg_2.Light,peak_apex_int,uM,0,0,20,0.04,-0.644821224722463,12,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-1.12617375532415,5.41634349302542
accoa.accoa_1.Heavy,accoa.accoa_1.Light,peak_apex_int,uM,0,0,40,0.08,0.297260836435618,15,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.264039992924094,10.3072016794073
acon-C.acon-C_1.Heavy,acon-C.acon-C_1.Light,peak_apex_int,uM,0,0,0.1,0.04,1,2,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
acon-C.acon-C_1.Heavy,acon-C.acon-C_2.Light,peak_apex_int,uM,0,0,0.02,0.04,0.950235801153564,3,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
akg.akg_1.Heavy,actp.actp_1.Light,peak_apex_int,uM,0,0,40,0.4,0.642242373511293,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.11290282323997,-1.18443768367683
akg.akg_1.Heavy,actp.actp_2.Light,peak_apex_int,uM,0,0,40,0.4,0.650245636990472,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.12677955362186,-1.05385850664588
ade.ade_1.Heavy,ade.ade_1.Light,peak_apex_int,uM,0,0,0.008,0.08,-0.478222991818752,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.272754400014114,12.6578179687894
ade.ade_1.Heavy,ade.ade_2.Light,peak_apex_int,uM,0,0,0.04,0.08,-0.566005663005797,10,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-1.0796203243992,5.20958570647658
adn.adn_1.Heavy,adn.adn_1.Light,peak_apex_int,uM,0,0,0.2,0.4,0.960333500216963,9,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.06484450631841,-0.565831638269252
adp.adp_1.Heavy,adp.adp_1.Light,peak_apex_int,uM,0,0,2,0.004,0.796453658906337,14,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.437610996278222,10.8334971499321
adp.adp_1.Heavy,adp.adp_2.Light,peak_apex_int,uM,0,0,0.2,0.2,-nan,1,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
adpglc.adpglc_1.Heavy,adpglc.adpglc_1.Light,peak_apex_int,uM,0,0,0.0002,1,0.996110659668937,11,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.972778221555008,5.04343278285208
adpglc.adpglc_1.Heavy,adpglc.adpglc_2.Light,peak_apex_int,uM,0,0,1,0.1,-0.62780352749416,4,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-2.49745804049549,3.16169847763705
akg.akg_1.Heavy,akg.akg_1.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
ala-L.ala-L_1.Heavy,ala-L.ala-L_1.Light,peak_apex_int,uM,0,0,0.1,200,0.987696426905699,10,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.902681079125784,-2.57307326181423
ala-L.ala-L_1.Heavy,ala-L.ala-L_2.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
amp.amp_1.Heavy,amp.amp_1.Light,peak_apex_int,uM,0,0,0.04,0.08,-0.136751541531837,13,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,-0.157874905628323,6.82826234340815
amp.amp_1.Heavy,amp.amp_2.Light,peak_apex_int,uM,0,0,40,0.8,-0.616620684395203,3,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
ara5p.ara5p_1.Heavy,ara5p.ara5p_1.Light,peak_apex_int,uM,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
