component_group_name,component_name,meta_value,150516_CM1_Level1,150516_CM1_Level10,150516_CM1_Level11,150516_CM1_Level12,150516_CM1_Level13,150516_CM1_Level14,150516_CM1_Level15,150516_CM1_Level2,150516_CM1_Level3,150516_CM1_Level4,150516_CM1_Level5,150516_CM1_Level6,150516_CM1_Level7,150516_CM1_Level8,150516_CM1_Level9,150516_CM2_Level1,150516_CM2_Level10,150516_CM2_Level11,150516_CM2_Level12,150516_CM2_Level13,150516_CM2_Level14,150516_CM2_Level15,150516_CM2_Level2,150516_CM2_Level3,150516_CM2_Level4,150516_CM2_Level5,150516_CM2_Level6,150516_CM2_Level7,150516_CM2_Level8,150516_CM2_Level9,150516_CM3_Level1,150516_CM3_Level10,150516_CM3_Level11,150516_CM3_Level12,150516_CM3_Level13,150516_CM3_Level14,150516_CM3_Level15,150516_CM3_Level2,150516_CM3_Level3,150516_CM3_Level4,150516_CM3_Level5,150516_CM3_Level6,150516_CM3_Level7,150516_CM3_Level8,150516_CM3_Level9
succ,succ.succ_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.650421685,nan,nan,nan,nan,nan,nan,42.0354163033,22.2657238491,11.9810395144,nan,1.99738421757,1.0009700553,0.38403532781,0.232289429332,0.392829869194,nan,nan,nan,nan,0.354684424388,nan,0.337050340326,nan,nan,nan,nan,nan,nan,nan
succ,succ.succ_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.01861623508,1.01505226383,1.02541358325,nan,0.566684389325,0.337421922667,0.152097031879,0.0985307238561,1.03148728927,nan,nan,nan,nan,0.145095768365,nan,1.21741964482,nan,nan,nan,nan,nan,nan,nan
succoa,succoa.succoa_1.Light,calculated_concentration,nan,0.000228043137248,0.000290473468644,nan,nan,nan,0.00029758276065,nan,nan,nan,0.00054751234491,0.000605659055474,nan,nan,nan,nan,0.000233055332456,nan,0.000207373130599,nan,0.000271170447087,0.000255142202904,0.00181091742436,nan,nan,1.40768177434,nan,0.000323564033501,nan,nan,nan,nan,0.000298281051573,nan,nan,nan,0.000340810135199,nan,nan,0.00061857642768,0.000464200976423,nan,0.00035163143375,0.000263486112082,nan
thr-L,thr-L.thr-L_1.Light,calculated_concentration,0.0229998452967,0.0210191877265,0.0186292402038,1.64704443903,0.020098965735,0.0212205718418,0.0212374487195,0.0126394117136,0.0148839945362,0.0185066502037,0.0184631787147,0.0239333358901,0.024549008855,0.0227379736191,0.0202152146333,0.0585804736906,0.0199456234149,0.0218046070721,0.0195763754736,0.0233795659691,0.0217607558714,0.0212367123389,0.0347375821194,0.0283056192376,0.0247249639107,nan,0.0266581383712,0.0197919221159,0.0211893750666,0.0253536804257,137.391773073,0.374160590216,0.155993569259,0.0711073565435,0.048455591791,0.039480795816,0.0267329627949,170.128761717,66.9513548028,31.7825380827,17.0436573477,5.93828033088,2.95272309984,1.42568040129,0.562828930223
thym,thym.thym_1.Light,calculated_concentration,7.71050311354,0.0162178437838,0.00957264835655,0.00380115867093,0.00182958025919,0.00118367585217,nan,0.000151029616556,1.46713117897,1.77140970025,0.959630260526,0.496391986113,0.22444235169,0.0953876952027,0.0443536745722,0.000442195528805,nan,0.000198564694713,0.000243751754333,nan,0.000312825322228,0.000215936327741,0.000311733716069,nan,nan,nan,nan,nan,0.00017471076478,0.000245557231666,0.000688880607058,0.00030172977955,nan,nan,0.000219813963638,nan,nan,0.000634290270556,0.00044968138721,0.0003257016091,0.000317117862243,0.000299919871362,0.000209313741472,nan,nan
trp-L,trp-L.trp-L_1.Light,calculated_concentration,0.000760703653445,0.0342487909666,0.0145074159137,0.121219578092,nan,0.000399646650578,0.000360918024729,7.55406270141e-05,nan,0.000389248131385,nan,nan,0.0298086116592,0.000366928216952,0.0353029396637,0.00205461441728,0.000311800700755,0.000315664288085,0.0346823716149,0.00042364715458,0.000309231420468,0.0221518138168,0.00179465754935,0.000819247462232,0.000664233604602,0.0428211004028,0.00076666843678,0.000503616733353,nan,0.000447346467664,4.15245155618,0.00417555667527,0.00152578952146,nan,0.0005055640042,0.000758702694319,nan,4.55350004265,1.19410686374,0.442771849442,0.213866964487,0.0646809673642,0.0229456654219,0.0136037728778,0.00486377708349
trp-L,trp-L.trp-L_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.5375003112,nan,nan,nan,nan,nan,nan,12.818214438,4.46799411593,2.03244860403,nan,nan,nan,nan,nan
tyr-L,tyr-L.tyr-L_1.Light,calculated_concentration,0.0623914538963,0.00271091391918,0.00173636554586,0.518257447381,0.00229644216822,0.00294309459072,0.00275939219281,0.000839447060574,0.0168456882008,0.0186202756844,0.0123121168874,0.00792046751649,0.00470534586288,0.00557370932998,0.00259851071865,0.0123572162634,0.00243131340813,0.003221186587,0.00243176898295,0.00329902698868,0.00340425042549,0.0030542617509,0.00348155231642,0.00485442747837,0.00297426948124,nan,0.00567596823741,0.002711497968,0.00357368839108,0.00430485211034,34.4131522582,0.229771377733,0.0867598837359,0.038669409331,0.0212063078717,0.0158749668006,0.00724259916735,47.6441194939,35.9094815605,19.5460926921,11.0061066274,4.48495422723,2.00282367737,1.00999200118,0.357512298646
tyr-L,tyr-L.tyr-L_2.Light,calculated_concentration,0.00306879018296,nan,nan,0.522118150107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.1514220611,0.180214232164,nan,nan,nan,nan,nan,72.2231891655,45.4476015143,21.3509228365,12.4373777008,4.48541774609,2.00889133473,0.904333121081,nan
udp,udp.udp_1.Light,calculated_concentration,1.63236370305,0.00201501576831,0.00164794077745,0.041075064972,nan,nan,nan,0.00285223914516,0.242969440555,0.073456988524,0.0392181472343,0.0185518695197,0.00878497881159,0.00512068539156,0.00295931568334,2.4641352637,0.00468985469524,0.0861523394903,nan,0.0744969907235,0.109968308842,0.00284892407997,1.85975417907,0.91457178023,0.434094118723,nan,0.0558499407292,0.0307234433984,0.00975348349661,0.00770022518408,0.030986468643,0.0598905007874,nan,0.0600141064951,0.0676406043407,0.0570621685187,nan,0.0323179615864,nan,0.00243534577531,nan,0.062227771484,0.0711990717591,0.0671761072685,0.00505612695909
udp,udp.udp_2.Light,calculated_concentration,1.54561525572,nan,nan,nan,nan,nan,nan,nan,0.279715371038,0.0964210949471,0.0520981766103,0.0311343085988,0.0194354005636,0.00887105484082,nan,3.45834098087,nan,nan,nan,0.0108023407993,nan,nan,1.85607127929,0.911303227184,0.492189149893,nan,0.0807556433829,0.0623430180193,0.0176169069715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
udpg,udpg.udpg_1.Light,calculated_concentration,0.00300553414694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000538508785513,2.5335923266,0.00256147738014,0.0010911638535,0.000872021551601,nan,nan,nan,1.14865032204,0.529132252315,0.255081660451,nan,0.0456862036475,0.0262839978384,0.00743068185158,0.00578715401633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
udpglcur,udpglcur.udpglcur_1.Light,calculated_concentration,0.00118915465103,nan,5.24528453e-05,nan,nan,nan,6.18924499549e-05,nan,0.000186774547188,0.000274462731278,0.000118107309473,9.19536735557e-05,nan,nan,nan,0.931678249157,0.000643462435678,0.000408881838126,0.000209846965176,0.000124815385209,0.000113044185918,6.68721172442e-05,0.458741088087,0.218203119225,0.122074617965,nan,0.0221527427288,0.0121358124154,0.00353670006475,0.00172522938509,0.000100253862268,nan,nan,5.78922643413e-05,nan,8.75113033677e-05,0.000100531560119,nan,nan,nan,nan,nan,9.98597887344e-05,nan,7.59196385214e-05
udpglcur,udpglcur.udpglcur_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.02286233315,nan,nan,nan,nan,nan,nan,0.490214796695,0.194244389991,0.102671028688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ump,ump.ump_1.Light,calculated_concentration,0.0595416866143,nan,nan,nan,nan,nan,nan,1.54668438362,0.0113845163699,0.00892402336124,0.00858163819425,0.00414635130089,nan,nan,nan,0.0901459454311,nan,nan,nan,nan,nan,nan,0.0480747383945,0.0721148311283,0.0597314261779,4.94540908695,0.0221555812495,0.0149527430337,0.00926082734212,nan,7.04235670051,0.00781695206442,0.00473377078326,0.0039245093136,nan,nan,nan,7.87999382227,2.38108867794,1.01831945155,0.47495347014,0.153446676327,0.066446822902,0.03618034828,0.0144336988848
ump,ump.ump_2.Light,calculated_concentration,0.0642283135501,nan,nan,nan,nan,nan,nan,1.20258531976,0.0143941187906,0.0110791134182,0.01016897766,nan,nan,nan,nan,0.0922303447237,nan,nan,nan,nan,nan,nan,0.0505816230137,0.0737845662093,0.0644370662062,nan,0.0251926647258,0.016033795625,0.00688189573022,nan,4.41476336831,0.00900708711574,nan,nan,nan,nan,nan,4.77332545538,1.54456796658,0.738491111202,0.39723640352,0.144209364981,0.0709115920338,0.0416610579809,0.0161719407365
ura,ura.ura_1.Light,calculated_concentration,21.4467785978,0.457894426439,0.198546375223,0.0759696593181,0.0372133653542,0.0194338985725,0.0078395352306,nan,5.55719646921,6.40087045125,5.63836600121,6.5243764969,3.98334741279,2.0557735067,1.00242237119,nan,0.000755357843712,nan,0.000869651605006,0.00104470033926,nan,nan,nan,nan,0.00271265301944,nan,nan,0.00144736559967,nan,nan,0.002400694148,0.00118217259996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
urate,urate.urate_1.Light,calculated_concentration,nan,nan,0.00165859545947,0.000467389643595,0.00162116636947,nan,0.000364067883533,0.00256737886954,nan,0.00491611919496,0.00172626251035,0.000285829437232,0.000920526497197,nan,0.000459993542742,0.000993432732034,nan,nan,nan,0.00052538614222,0.00134037892709,0.000204349179046,nan,0.0172918656422,nan,nan,nan,nan,nan,0.00143645875462,0.0021824050519,nan,nan,nan,nan,nan,nan,0.00305699659018,0.00508890711696,nan,nan,nan,nan,nan,0.000489304829279
urate,urate.urate_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00263356535633,0.000569667769483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00682813778671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
uri,uri.uri_1.Light,calculated_concentration,49.2004316585,0.0367184902557,0.0156179653635,0.0102923133095,0.00290681390494,0.00222449780433,0.000941633797372,nan,6.60447029531,8.08409676402,2.05570984567,1.5550400621,0.592399984659,0.174022051435,0.10039992364,0.000606175884657,0.000160920093853,nan,0.000109381915399,0.000134175682119,nan,nan,0.00150911362807,0.00482024940688,0.00487630947712,nan,0.00189607529665,0.00103571280789,0.000643039081034,0.000291134165356,0.00220978703484,0.000593834666349,0.00027886795432,0.000286156235204,0.000334808475312,0.000298604459189,0.000276334631101,0.00201191331161,0.0010985921891,0.0120475959048,0.022693734742,0.00720027094051,0.00408009636408,0.00186627158535,0.000794721878205
uri,uri.uri_2.Light,calculated_concentration,47.771525684,0.036982295671,0.0158081539085,0.0101290521768,nan,nan,nan,nan,6.44284127966,7.84066342203,1.95664732646,2.3309199515,0.73673371827,0.229713762573,0.119487589249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023018398169,nan,nan,nan,nan
utp,utp.utp_1.Light,calculated_concentration,8.74697529527,0.00211845343401,0.00158464302408,nan,0.00193927075732,0.000154454956581,0.000174283162008,3.39123456874e-05,1.53933670556,2.51749607955,1.11483994125,0.414783550848,0.127165570669,0.0407499404147,0.0137067973628,0.0055931125407,nan,0.000483320484662,nan,0.00140472451417,0.000940837876445,0.000458882799221,0.00249365376325,0.00166036859487,0.0191060527504,5.07621128123,0.00274281273014,0.00101014482567,0.000491318670334,0.000598545168878,0.0004279430274,0.00220957256806,0.00557282131616,0.0041793348066,0.00387441782109,0.00347420077799,0.031057734579,nan,0.000728522435667,0.000364765692001,0.00053837895251,nan,0.0012250199346,0.0107641014953,0.00383430697754
utp,utp.utp_2.Light,calculated_concentration,0.777241113731,nan,nan,nan,nan,nan,nan,nan,0.552800706833,0.68482498031,0.422415647767,0.202754725145,0.0813766432416,0.034326505402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
xan,xan.xan_1.Light,calculated_concentration,8.17301104632,0.00777298712947,0.00406898553293,0.0124672073076,0.000670692977428,0.000474955005522,0.000375363664329,0.000167868117308,1.59175974726,2.1274120603,0.841500249004,0.393810377947,0.147478407184,0.0568918293979,0.023779815087,0.0040404702506,nan,0.000198400809659,0.000186033737925,0.000207510293806,0.000324001605751,nan,0.0019776782715,0.000974404928774,0.000582346621892,nan,0.000722631686076,nan,0.000277289792899,nan,0.0013328673159,0.000544291269725,nan,0.000452516118007,nan,0.000521989549598,0.000270732852645,0.00150375633243,0.000691069285199,0.0003520323613,0.00029108269165,nan,0.00115005171934,0.000575253935878,0.000354621010922
