ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
uri,,uri,uri.uri_1.Heavy,1.220882378,,252,Unit,43,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
uri,,uri,uri.uri_1.Light,1.220481945,,243.001,Unit,42,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
uri,,uri,uri.uri_2.Light,1.220481945,,243.001,Unit,110,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gua,,gua,gua.gua_1.Heavy,1.223963224,,155,Unit,138,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gua,,gua,gua.gua_1.Light,1.225781379,,149.916,Unit,133,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
hxan,,hxan,hxan.hxan_1.Heavy,1.223335675,,140,Unit,96,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
hxan,,hxan,hxan.hxan_1.Light,1.222631402,,135,Unit,92,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
tyr-L,,tyr-L,tyr-L.tyr-L_1.Heavy,1.3031544,,189,Unit,172,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
tyr-L,,tyr-L,tyr-L.tyr-L_1.Light,1.305047077,,180,Unit,163,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
tyr-L,,tyr-L,tyr-L.tyr-L_2.Light,1.305047077,,180,Unit,119,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
xan,,xan,xan.xan_1.Heavy,1.538491775,,156,Unit,112,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
xan,,xan,xan.xan_1.Light,1.542251011,,150.916,Unit,108,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ins,,ins,ins.ins_1.Heavy,1.439146908,,277,Unit,140,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ins,,ins,ins.ins_1.Light,1.450368843,,267,Unit,135,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ins,,ins,ins.ins_2.Light,1.450368843,,267,Unit,108,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gsn,,gsn,gsn.gsn_1.Heavy,1.45,,292,Unit,155,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gsn,,gsn,gsn.gsn_1.Light,1.45,,282,Unit,150,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gsn,,gsn,gsn.gsn_2.Light,1.45,,282,Unit,133,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
thym,,thym,thym.thym_1.Heavy,1.545678295,,130,Unit,43,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thym,,thym,thym.thym_1.Light,1.539643883,,124.895,Unit,42,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ade,,ade,ade.ade_1.Heavy,1.795180793,,139,Unit,111,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ade,,ade,ade.ade_1.Light,1.794078363,,133.91,Unit,107,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ade,,ade,ade.ade_2.Light,1.794078363,,133.91,Unit,92,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gam6p,,gam6p,gam6p.gam6p_1.Heavy,1.900409031,,264,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gam6p,,gam6p,gam6p.gam6p_1.Light,1.91709543,,258,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gam6p,,gam6p,gam6p.gam6p_2.Light,1.91709543,,258,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
adn,,adn,adn.adn_1.Heavy,2.300971494,,276,Unit,139,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
adn,,adn,adn.adn_1.Light,2.301740012,,265.889,Unit,134,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
phe-L,,phe-L,phe-L.phe-L_1.Heavy,2.210154219,,173,Unit,156,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
phe-L,,phe-L,phe-L.phe-L_1.Light,2.213662302,,164,Unit,147,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
