transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,potentialOutlier,initialPeakQuality,PeptideRef,leftWidth,rightWidth,total_xic,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,MZ,native_id,peak_apex_int,width_at_5,width_at_10,width_at_50,start_time_at_10,start_time_at_5,end_time_at_10,end_time_at_5,total_width,tailing_factor,asymmetry_factor,baseline_delta_2_height,slope_of_baseline,points_across_baseline,points_across_half_height,logSN,FeatureLevel,PrecursorMZ,peak_area
b'23dpg',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,15.749943870290119,3927254861704728101,b'',NA,1,64022.3515625,b'23dpg',0,none,0.3458503190851289,23dpg,15.617016792297363,15.891233444213867,144923.0,12639.88975568345,0.5749149571305296,0.2222222222222222,0.7948342105204742,0.7264456140272988,-0.12585290970988083,15.87579678,15.749943870290119,0.12585290970988083,0.0012585290970988084,0.44176802616734406,3.0,10.099987426338672,2.3125341789294755,0.47017214943965274,5.283771495767696,170.0,23dpg.23dpg_1.Heavy,613.4117546609829,-15.313326215428006,-15.65925222770691,-15.475310667778643,15.65925222770691,15.313326215428006,0.0,0.0,0.2742166519165039,0.9722781453408399,-173.66477683805957,0.4783782887015673,293.4428654641466,16,12,1.30805986255108,MS2,268.0,6576.236328125
b'23dpg',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,15.749943870290119,3927254861704728101,b'',NA,1,64022.3515625,b'23dpg',0,none,0.3458503190851289,23dpg,15.617016792297363,15.891233444213867,144923.0,12639.88975568345,0.5749149571305296,0.2222222222222222,0.7948342105204742,0.7264456140272988,-0.12585290970988083,15.87579678,15.749943870290119,0.12585290970988083,0.0012585290970988084,0.44176802616734406,3.0,10.099987426338672,2.3125341789294755,0.47017214943965274,5.283771495767696,167.0,23dpg.23dpg_1.Light,9255.481217690502,-15.656030928950438,-15.68100927735228,0.20562587614939076,15.68100927735228,15.656030928950438,0.0,0.0,0.2742166519165039,0.9940372523157474,-228.47663559125212,0.17959186390105247,1662.20912318622,16,5,3.280947759573301,MS2,265.0,52260.96484375
b'2mcit',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,14.407498633829752,3979420127719906203,b'',NA,1,23044.279296875,b'2mcit',0,2mcit.2mcit_2.Light,-4.882737307707489,2mcit,14.312417030334473,14.474599838256836,10216785.0,1487.1199231502783,13.72156305537234,8.11111111111111,0.4608758130089899,0.3922788617897642,0.24564113382975172,14.1618575,14.407498633829752,0.24564113382975172,0.002456411338297517,0.0022555313923974126,3.0,15.685616808223644,2.752744165588836,0.009037420153617859,3.3142014976695853,130.0168,2mcit.2mcit_1.Heavy,108.34026327054589,14.406687864401555,0.10681913234486373,0.07216039270192987,14.340669320390418,0.0,14.447488452735282,14.406687864401555,0.16218280792236328,-17769.155278137427,0.5983873968993031,-0.19680618214497783,-21.322033586857906,13,5,3.8488235522647525,MS2,212.0235,564.823486328125
b'35cgmp',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,9.609381638081867,8216097982917488446,b'',NA,1,1080.689208984375,b'35cgmp',0,35cgmp.35cgmp_2.Light,-6.161768312167171,35cgmp,9.516050338745117,9.703300476074219,9339.0,116.49701021782342,22.392304845413264,13.666666666666664,0.42522328903526946,0.34474216315813694,-1.0833132919181327,10.69269493,9.609381638081867,1.0833132919181327,0.010833132919181327,0.11571787225445712,3.0,16.14211619020812,2.781431768881982,-0.30279308805863064,2.8408130378559475,155.0,35cgmp.35cgmp_1.Heavy,107.84561047671515,-9.539325854704439,-9.550363588642448,0.14599416400958454,9.550363588642448,9.539325854704439,0.0,0.0,0.18725013732910156,0.9927096470911512,-162.82106456170868,0.27852733047507205,30.037949989533935,21,7,3.8800440575500916,MS2,354.0,923.2529907226562
b'5oxpro',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,3.45925273844401,9851531224462705224,b'',NA,1,604805.9375,b'5oxpro',0,5oxpro.5oxpro_1.Heavy,0.8931426461925536,5oxpro,3.1720499992370605,3.6937332153320312,1084566.0,29940.221726512907,0.5749149571305296,0.2222222222222222,0.9830375531814428,0.9773834042419237,-0.17074726155598974,3.63,3.45925273844401,0.17074726155598974,0.0017074726155598974,0.5576478863434775,3.0,49.063561877755554,3.893116638676679,0.1878343919912974,8.042502698784915,86.0,5oxpro.5oxpro_1.Heavy,1094.4622807963278,0.0,0.0,0.1957491695913376,0.0,0.0,0.0,0.0,0.5216832160949707,-0.0,-1.0,0.06367253865523638,69.68719188070236,64,26,1.122661168203923,MS2,133.0,35995.2109375
b'5oxpro',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,3.45925273844401,9851531224462705224,b'',NA,1,604805.9375,b'5oxpro',0,5oxpro.5oxpro_1.Heavy,0.8931426461925536,5oxpro,3.1720499992370605,3.6937332153320312,1084566.0,29940.221726512907,0.5749149571305296,0.2222222222222222,0.9830375531814428,0.9773834042419237,-0.17074726155598974,3.63,3.45925273844401,0.17074726155598974,0.0017074726155598974,0.5576478863434775,3.0,49.063561877755554,3.893116638676679,0.1878343919912974,8.042502698784915,82.0,5oxpro.5oxpro_1.Light,21660.428441854845,0.33140348289317334,0.28985543111055945,19.765506531745576,3.2987587381303642,3.270181148349322,3.5886141692409237,3.6015846312424955,0.5216832160949707,2.3283852717561837,0.8060203530606038,0.006806876640138019,147.4398643762429,64,19,4.39827791307956,MS2,128.0,437676.5625
b'5oxpro',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,3.45925273844401,9851531224462705224,b'',NA,1,604805.9375,b'5oxpro',0,5oxpro.5oxpro_1.Heavy,0.8931426461925536,5oxpro,3.1720499992370605,3.6937332153320312,1084566.0,29940.221726512907,0.5749149571305296,0.2222222222222222,0.9830375531814428,0.9773834042419237,-0.17074726155598974,3.63,3.45925273844401,0.17074726155598974,0.0017074726155598974,0.5576478863434775,3.0,49.063561877755554,3.893116638676679,0.1878343919912974,8.042502698784915,84.0,5oxpro.5oxpro_2.Light,7185.331003861735,0.2743685150603774,0.254225301708344,0.23399436312131794,3.3350812549055453,3.303061264834068,3.5893065566138893,3.5774297798944454,0.5216832160949707,2.3216735813736755,0.9547699966506892,0.0,0.0,64,19,4.140065586167786,MS2,128.0,131134.15625
b'6pgc',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,13.933422272491455,10636588357744633902,b'',NA,1,413384.3125,b'6pgc',0,6pgc.6pgc_1.Heavy,-0.2902283905297653,6pgc,13.687049865722656,14.207983016967773,991932.0,16148.016918847094,1.8213672050459184,1.0,0.861509325205386,0.7922639878080788,0.15250357249145452,13.7809187,13.933422272491455,0.15250357249145452,0.0015250357249145452,0.41674662426456655,2.0,4.690286413964178,1.5454936496690657,0.8677407205104828,4.236372828397001,97.0,6pgc.6pgc_1.Light,13893.14932830988,0.0,-13.717615496791009,0.28316725335485415,13.717615496791009,0.0,0.0,0.0,0.5209331512451172,-0.0,-64.56434107440592,0.34429326716277353,4783.317773424102,43,26,2.016238886830316,MS2,275.0,353585.1875
b'AICAr',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,1.2377434087117511,4306372837759487030,b'',NA,1,12269.9345703125,b'AICAr',0,none,0.05401479996526015,AICAr,1.1404666900634766,1.3665666580200195,21008.0,1038.7985058888048,1.8213672050459184,1.0,0.8103637301169277,0.7155455951753915,0.04462363171175121,1.193119777,1.2377434087117511,0.04462363171175121,0.00044623631711751213,0.5840600995007854,2.0,2.8587411576041686,1.0503813732513971,0.41294571361504495,4.447170926509511,129.0,AICAr.AICAr_1.Heavy,315.1824436122569,0.0,0.0,-1.1724050756014364,0.0,0.0,0.0,0.0,0.22609996795654297,-0.0,-1.0,0.49211723059527324,155.10671128271474,17,14,1.1215150630883568,MS2,266.0,4618.201171875
b'AICAr',170808_Jonathan_yeast_Sacc2_1x,/home/user/code/examples/LCMS_MRM/mzML/170808_Jonathan_yeast_Sacc2_1x.mzML,1.2377434087117511,4306372837759487030,b'',NA,1,12269.9345703125,b'AICAr',0,none,0.05401479996526015,AICAr,1.1404666900634766,1.3665666580200195,21008.0,1038.7985058888048,1.8213672050459184,1.0,0.8103637301169277,0.7155455951753915,0.04462363171175121,1.193119777,1.2377434087117511,0.04462363171175121,0.00044623631711751213,0.5840600995007854,2.0,2.8587411576041686,1.0503813732513971,0.41294571361504495,4.447170926509511,125.0,AICAr.AICAr_1.Light,723.6160622765478,0.0,0.0,0.1957268325737762,0.0,0.0,0.0,0.0,0.22609996795654297,-0.0,-1.0,-0.22275353547872026,-161.18803620129086,17,12,0.9737975176210434,MS2,257.0,7651.7333984375
