component_group_name,component_name,meta_value,GCMS_SIM
3PG,3PG_459,calculated_concentration,4027970.41809
3PG,3PG_460,calculated_concentration,4007813.28937
3PG,3PG_461,calculated_concentration,2033134.76024
3PG,3PG_462,calculated_concentration,860059.595309
3PG,3PG_463,calculated_concentration,274018.491597
Citrate,Citrate_465,calculated_concentration,15897314.0574
Citrate,Citrate_466,calculated_concentration,6107344.3547
Citrate,Citrate_467,calculated_concentration,3798418.29391
Citrate,Citrate_468,calculated_concentration,976587.841819
Citrate,Citrate_469,calculated_concentration,284640.974974
Citrate,Citrate_470,calculated_concentration,58910.4465085
Citrate,Citrate_471,calculated_concentration,100920.253981
DHAP,DHAP_400,calculated_concentration,1784685.14733
DHAP,DHAP_401,calculated_concentration,1309374.58616
DHAP,DHAP_402,calculated_concentration,603384.162549
DHAP,DHAP_403,calculated_concentration,228336.5068
DHAP,DHAP_404,calculated_concentration,72855.5840152
E4P,E4P_217,calculated_concentration,432299988.98
E4P,E4P_218,calculated_concentration,284959135.146
E4P,E4P_219,calculated_concentration,155407756.193
E4P,E4P_220,calculated_concentration,52448457.8892
E4P,E4P_221,calculated_concentration,71329404.758
Erythritol,Erythritol_307,calculated_concentration,37450375.8705
Erythritol,Erythritol_308,calculated_concentration,15594552.1217
Erythritol,Erythritol_309,calculated_concentration,6021560.39543
Erythritol,Erythritol_310,calculated_concentration,1362349.41611
Erythritol,Erythritol_311,calculated_concentration,375069.085829
F6P,F6P_217,calculated_concentration,436852441.718
F6P,F6P_218,calculated_concentration,333980335.141
F6P,F6P_219,calculated_concentration,176432717.15
F6P,F6P_220,calculated_concentration,87113350.1236
F6P,F6P_221,calculated_concentration,161827481.452
F6P,F6P_357,calculated_concentration,3003135.06603
F6P,F6P_358,calculated_concentration,2152431.19164
F6P,F6P_359,calculated_concentration,2439238.35962
F6P,F6P_360,calculated_concentration,2528708.18749
Fumarate,Fumarate_245,calculated_concentration,28430716.6524
