sample_name,component_name,IS_component_name,actual_concentration,IS_actual_concentration,concentration_units,dilution_factor
AAmix_0p5ug_mL_1_Emission_1,Aspartate,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Aspartate,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Aspartate,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Aspartate,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Aspartate,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Aspartate,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Aspartate,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Aspartate,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Aspartate,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_1_Emission_1,Aspartate,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_1_Emission_1,Glutamate,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Glutamate,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Glutamate,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Glutamate,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Glutamate,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Glutamate,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Glutamate,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Glutamate,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Glutamate,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_1_Emission_1,Glutamate,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_1_Emission_1,Cysteine,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Cysteine,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Cysteine,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Cysteine,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Cysteine,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Cysteine,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Cysteine,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Cysteine,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Cysteine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_1_Emission_1,Cysteine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_1_Emission_1,Asparagine,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Asparagine,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Asparagine,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Asparagine,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Asparagine,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Asparagine,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Asparagine,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Asparagine,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Asparagine,,0.25,1,ug/mL,1
