component_name,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Aspartate,-500,1.00E+15,-500,1.00E+12
Glutamate,-500,1.00E+15,-500,1.00E+12
Cysteine,-500,1.00E+15,-500,1.00E+12
Asparagine,-500,1.00E+15,-500,1.00E+12
Serine,-500,1.00E+15,-500,1.00E+12
Glutamine,-500,1.00E+15,-500,1.00E+12
Histidine,-500,1.00E+15,-500,1.00E+12
Glycine,-500,1.00E+15,-500,1.00E+12
Threonine,-500,1.00E+15,-500,1.00E+12
Arginine,-500,1.00E+15,-500,1.00E+12
Alanine,-500,1.00E+15,-500,1.00E+12
Tyrosine,-500,1.00E+15,-500,1.00E+12
2-aminobutyrate,-500,1.00E+15,-500,1.00E+12
GhostPeak,-500,1.00E+15,-500,1.00E+12
Valine,-500,1.00E+15,-500,1.00E+12
Methionine,-500,1.00E+15,-500,1.00E+12
Tryptophan,-500,1.00E+15,-500,1.00E+12
Phenylalanine,-500,1.00E+15,-500,1.00E+12
Isoleucine,-500,1.00E+15,-500,1.00E+12
Leucine,-500,1.00E+15,-500,1.00E+12
Lysine,-500,1.00E+15,-500,1.00E+12
Aspartate2,-500,1.00E+15,-500,1.00E+12
Glutamate2,-500,1.00E+15,-500,1.00E+12
Cysteine2,-500,1.00E+15,-500,1.00E+12
Asparagine2,-500,1.00E+15,-500,1.00E+12
Serine2,-500,1.00E+15,-500,1.00E+12
Glutamine2,-500,1.00E+15,-500,1.00E+12
Histidine2,-500,1.00E+15,-500,1.00E+12
Glycine2,-500,1.00E+15,-500,1.00E+12
Threonine2,-500,1.00E+15,-500,1.00E+12
Arginine2,-500,1.00E+15,-500,1.00E+12
Alanine2,-500,1.00E+15,-500,1.00E+12
Tyrosine2,-500,1.00E+15,-500,1.00E+12
2-aminobutyrate2,-500,1.00E+15,-500,1.00E+12
GhostPeak2,-500,1.00E+15,-500,1.00E+12
Valine2,-500,1.00E+15,-500,1.00E+12
Methionine2,-500,1.00E+15,-500,1.00E+12
Tryptophan2,-500,1.00E+15,-500,1.00E+12
Phenylalanine2,-500,1.00E+15,-500,1.00E+12
Isoleucine2,-500,1.00E+15,-500,1.00E+12
Leucine2,-500,1.00E+15,-500,1.00E+12
Lysine2,-500,1.00E+15,-500,1.00E+12
