sample_name,sample_group_name,sequence_segment_name,sample_type,filename
150516_Blank01,group1,sequence1,Blank,150516_Blank01
150516_Blank02,group1,sequence1,Blank,150516_Blank02
150516_Blank03,group1,sequence1,Blank,150516_Blank03
150516_Blank04,group1,sequence1,Blank,150516_Blank04
150516_CM_Solvent1,group1,sequence1,Double Blank,150516_CM_Solvent1
150516_CM_Solvent2,group1,sequence1,Double Blank,150516_CM_Solvent2
150516_CM_Solvent3,group1,sequence1,Double Blank,150516_CM_Solvent3
150516_CM_Solvent4,group1,sequence1,Double Blank,150516_CM_Solvent4
