File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/696.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_5ug_mL_1
Injection Number	8
Position	RB7
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	14:32:58
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003933
Time Max. (min)	30.001600
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-6,404.000000
Signal Max.	71,242,405.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
1.446933	0.640	-3,340.000000
1.457600	0.640	-3,565.000000
1.468267	0.640	-3,224.000000
1.478933	0.640	-2,561.000000
1.489600	0.640	-2,403.000000
1.500267	0.640	-2,458.000000
1.510933	0.640	-2,179.000000
1.521600	0.640	-1,852.000000
1.532267	0.640	-1,672.000000
1.542933	0.640	-1,355.000000
1.553600	0.640	-1,069.000000
1.564267	0.640	-1,088.000000
1.574933	0.640	-1,113.000000
1.585600	0.640	-1,108.000000
1.596267	0.640	-1,391.000000
1.606933	0.640	-2,106.000000
1.617600	0.640	-3,278.000000
1.628267	0.640	-4,201.000000
1.638933	0.640	-3,748.000000
1.649600	0.640	-2,163.000000
1.660267	0.640	-1,148.000000
1.670933	0.640	-1,585.000000
1.681600	0.640	-2,417.000000
1.692267	0.640	-2,479.000000
1.702933	0.640	-1,777.000000
1.713600	0.640	-1,053.000000
1.724267	0.640	-926.000000
1.734933	0.640	-1,106.000000
1.745600	0.640	-1,297.000000
1.756267	0.640	-1,893.000000
1.766933	0.640	-2,849.000000
1.777600	0.640	-3,342.000000
1.788267	0.640	-3,038.000000
1.798933	0.640	-2,803.000000
1.809600	0.640	-2,977.000000
1.820267	0.640	-2,566.000000
1.830933	0.640	-1,575.000000
1.841600	0.640	-1,376.000000
1.852267	0.640	-2,242.000000
1.862933	0.640	-3,001.000000
1.873600	0.640	-2,786.000000
1.884267	0.640	-2,138.000000
1.894933	0.640	-1,875.000000
1.905600	0.640	-1,646.000000
1.916267	0.640	-1,762.000000
1.926933	0.640	-2,705.000000
1.937600	0.640	-2,367.000000
1.948267	0.640	27.000000
1.958933	0.640	1,511.000000
1.969600	0.640	606.000000
1.980267	0.640	-1,191.000000
1.990933	0.640	-2,591.000000
2.001600	0.640	-3,055.000000
2.012267	0.640	-2,598.000000
2.022933	0.640	-2,342.000000
2.033600	0.640	-2,617.000000
2.044267	0.640	-2,345.000000
2.054933	0.640	-1,691.000000
2.065600	0.640	-1,748.000000
2.076267	0.640	-2,517.000000
2.086933	0.640	-3,140.000000
2.097600	0.640	-2,775.000000
2.108267	0.640	-1,521.000000
2.118933	0.640	-432.000000
2.129600	0.640	-540.000000
2.140267	0.640	-2,087.000000
2.150933	0.640	-3,609.000000
2.161600	0.640	-3,363.000000
2.172267	0.640	-2,298.000000
2.182933	0.640	-2,630.000000
2.193600	0.640	-3,947.000000
2.204267	0.640	-3,771.000000
2.214933	0.640	-1,416.000000
2.225600	0.640	926.000000
2.236267	0.640	1,032.000000
2.246933	0.640	-710.000000
2.257600	0.640	-2,387.000000
2.268267	0.640	-3,082.000000
2.278933	0.640	-3,143.000000
2.289600	0.640	-3,054.000000
2.300267	0.640	-2,976.000000
2.310933	0.640	-2,899.000000
2.321600	0.640	-2,348.000000
2.332267	0.640	-1,013.000000
2.342933	0.640	-267.000000
2.353600	0.640	-1,553.000000
2.364267	0.640	-3,574.000000
2.374933	0.640	-3,988.000000
2.385600	0.640	-2,909.000000
2.396267	0.640	-2,216.000000
2.406933	0.640	-2,589.000000
2.417600	0.640	-2,960.000000
2.428267	0.640	-2,198.000000
2.438933	0.640	-839.000000
2.449600	0.640	-562.000000
2.460267	0.640	-1,375.000000
2.470933	0.640	-1,747.000000
2.481600	0.640	-1,569.000000
2.492267	0.640	-1,600.000000
2.502933	0.640	-1,833.000000
2.513600	0.640	-2,396.000000
2.524267	0.640	-3,272.000000
2.534933	0.640	-3,458.000000
2.545600	0.640	-2,584.000000
2.556267	0.640	-1,846.000000
2.566933	0.640	-2,488.000000
2.577600	0.640	-4,100.000000
2.588267	0.640	-4,459.000000
2.598933	0.640	-2,617.000000
2.609600	0.640	-951.000000
2.620267	0.640	-1,213.000000
2.630933	0.640	-1,740.000000
2.641600	0.640	-1,321.000000
2.652267	0.640	-1,281.000000
2.662933	0.640	-1,990.000000
2.673600	0.640	-2,323.000000
2.684267	0.640	-2,306.000000
2.694933	0.640	-2,133.000000
2.705600	0.640	-676.000000
2.716267	0.640	2,419.000000
2.726933	0.640	5,660.000000
2.737600	0.640	7,219.000000
2.748267	0.640	6,234.000000
2.758933	0.640	3,765.000000
2.769600	0.640	1,787.000000
2.780267	0.640	1,254.000000
2.790933	0.640	1,936.000000
2.801600	0.640	2,437.000000
2.812267	0.640	1,473.000000
2.822933	0.640	-195.000000
2.833600	0.640	-1,399.000000
2.844267	0.640	-2,231.000000
2.854933	0.640	-2,564.000000
2.865600	0.640	-2,240.000000
2.876267	0.640	-2,566.000000
2.886933	0.640	-3,787.000000
2.897600	0.640	-3,236.000000
2.908267	0.640	-602.000000
2.918933	0.640	619.000000
2.929600	0.640	125.000000
2.940267	0.640	468.000000
2.950933	0.640	1,359.000000
2.961600	0.640	1,796.000000
2.972267	0.640	2,399.000000
2.982933	0.640	3,362.000000
2.993600	0.640	5,170.000000
3.004267	0.640	9,682.000000
3.014933	0.640	18,091.000000
3.025600	0.640	30,574.000000
3.036267	0.640	48,607.000000
3.046933	0.640	76,522.000000
3.057600	0.640	124,308.000000
3.068267	0.640	213,422.000000
3.078933	0.640	381,441.000000
3.089600	0.640	681,146.000000
3.100267	0.640	1,162,372.000000
3.110933	0.640	1,831,196.000000
3.121600	0.640	2,611,410.000000
3.132267	0.640	3,340,705.000000
3.142933	0.640	3,826,995.000000
3.153600	0.640	3,953,867.000000
3.164267	0.640	3,749,162.000000
3.174933	0.640	3,354,731.000000
3.185600	0.640	2,934,049.000000
3.196267	0.640	2,591,434.000000
3.206933	0.640	2,355,408.000000
3.217600	0.640	2,208,657.000000
3.228267	0.640	2,117,454.000000
3.238933	0.640	2,048,285.000000
3.249600	0.640	1,976,541.000000
3.260267	0.640	1,892,925.000000
3.270933	0.640	1,793,923.000000
3.281600	0.640	1,662,872.000000
3.292267	0.640	1,483,713.000000
3.302933	0.640	1,269,432.000000
3.313600	0.640	1,047,422.000000
3.324267	0.640	829,171.000000
3.334933	0.640	621,600.000000
3.345600	0.640	443,062.000000
3.356267	0.640	305,506.000000
3.366933	0.640	203,842.000000
3.377600	0.640	130,662.000000
3.388267	0.640	82,647.000000
3.398933	0.640	53,152.000000
3.409600	0.640	33,707.000000
3.420267	0.640	20,487.000000
3.430933	0.640	12,554.000000
3.441600	0.640	8,231.000000
3.452267	0.640	5,845.000000
3.462933	0.640	4,876.000000
3.473600	0.640	4,354.000000
3.484267	0.640	2,968.000000
3.494933	0.640	1,297.000000
3.505600	0.640	655.000000
3.516267	0.640	906.000000
3.526933	0.640	1,116.000000
