component_name,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Sarcosine,-500,1.00E+15,-500,1.00E+12
Proline,-500,1.00E+15,-500,1.00E+12
Sarcosine2,-500,1.00E+15,-500,1.00E+12
Proline2,-500,1.00E+15,-500,1.00E+12
