component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Serotonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,82.2,142.2,-500,1.00E+15,-500,1.00E+12
5-HTP,0,10,0,10,0,10,0,10,0,10,0,10,,,,,92.4,152.4,-500,1.00E+15,-500,1.00E+12
Tryptophan,0,10,0,10,0,10,0,10,0,10,0,10,,,,,175.8,235.8,-500,1.00E+15,-500,1.00E+12
Tryptamine,0,10,0,10,0,10,0,10,0,10,0,10,,,,,198,258,-500,1.00E+15,-500,1.00E+12
Acetylserotonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,274.2,334.2,-500,1.00E+15,-500,1.00E+12
Riboflavin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,286.8,346.8,-500,1.00E+15,-500,1.00E+12
5-hydroxyindole,0,10,0,10,0,10,0,10,0,10,0,10,,,,,309,369,-500,1.00E+15,-500,1.00E+12
Antranilicacid,0,10,0,10,0,10,0,10,0,10,0,10,,,,,348.6,408.6,-500,1.00E+15,-500,1.00E+12
Melatonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,387.6,447.6,-500,1.00E+15,-500,1.00E+12
Acetyltryptamine,0,10,0,10,0,10,0,10,0,10,0,10,,,,,408,468,-500,1.00E+15,-500,1.00E+12
Indole,0,10,0,10,0,10,0,10,0,10,0,10,,,,,511.8,571.8,-500,1.00E+15,-500,1.00E+12
Serotonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,82.2,142.2,-500,1.00E+15,-500,1.00E+12
5-HTP,0,10,0,10,0,10,0,10,0,10,0,10,,,,,92.4,152.4,-500,1.00E+15,-500,1.00E+12
Tryptophan,0,10,0,10,0,10,0,10,0,10,0,10,,,,,175.8,235.8,-500,1.00E+15,-500,1.00E+12
Tryptamine,0,10,0,10,0,10,0,10,0,10,0,10,,,,,198,258,-500,1.00E+15,-500,1.00E+12
Acetylserotonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,274.2,334.2,-500,1.00E+15,-500,1.00E+12
Riboflavin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,286.8,346.8,-500,1.00E+15,-500,1.00E+12
5-hydroxyindole,0,10,0,10,0,10,0,10,0,10,0,10,,,,,309,369,-500,1.00E+15,-500,1.00E+12
Antranilicacid,0,10,0,10,0,10,0,10,0,10,0,10,,,,,348.6,408.6,-500,1.00E+15,-500,1.00E+12
Melatonin,0,10,0,10,0,10,0,10,0,10,0,10,,,,,387.6,447.6,-500,1.00E+15,-500,1.00E+12
Acetyltryptamine,0,10,0,10,0,10,0,10,0,10,0,10,,,,,408,468,-500,1.00E+15,-500,1.00E+12
Indole,0,10,0,10,0,10,0,10,0,10,0,10,,,,,511.8,571.8,-500,1.00E+15,-500,1.00E+12
