sample_name,sample_type,component_group_name,component_name,QC_transition_message,asymmetry_factor,baseline_delta_2_height,calculated_concentration,logSN,peak_apex_int,points_across_baseline,points_across_half_height,tailing_factor,total_width,width_at_50
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,5-HTP,5-HTP,,1.15382840263995,-0.054450237824571035,79.60908548845958,3.0116608869312174,19.208052917445478,34,15,1.153828402639955,0.10999999999999988,0.05333299999999985
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,5-HTP,5-HTP2,,1.15382840263995,-0.054450237824571035,,3.0116608869312174,19.208052917445478,34,15,1.153828402639955,0.10999999999999988,0.05333299999999985
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,5-hydroxyindole,5-hydroxyindole,metaValue[logSN],1.142795920116625,-0.08785968039152671,0.057852286845445626,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,5-hydroxyindole,5-hydroxyindole2,metaValue[logSN],1.142795920116625,-0.08785968039152671,,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Acetylserotonin,Acetylserotonin,metaValue[logSN],1.142795920116625,-0.08785968039152671,5.234789137640547,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Acetylserotonin,Acetylserotonin2,metaValue[logSN],1.142795920116625,-0.08785968039152671,,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Acetyltryptamine,Acetyltryptamine,metaValue[logSN],1.18179834728778,-0.001914348178960199,4.031868339110267,0.46239286571938054,1.3321868210931795,25,17,1.09089917364389,0.08000000000000007,0.05999999999999961
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Acetyltryptamine,Acetyltryptamine2,metaValue[logSN],1.18179834728778,-0.001914348178960199,,0.46239286571938054,1.3321868210931795,25,17,1.09089917364389,0.08000000000000007,0.05999999999999961
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Melatonin,Melatonin,,1.285732653323608,-0.0032446267300915107,337.62442651936783,4.5698347067294725,94.66282276700822,54,16,1.1562541015881256,0.17666699999999924,0.05666599999999988
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Melatonin,Melatonin2,,1.285732653323608,-0.0032446267300915107,,4.5698347067294725,94.66282276700822,54,16,1.1562541015881256,0.17666699999999924,0.05666599999999988
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Riboflavin,Riboflavin,metaValue[logSN],1.142795920116625,-0.08785968039152671,1.9505988674265706,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Riboflavin,Riboflavin2,metaValue[logSN],1.142795920116625,-0.08785968039152671,,0.8310857224198931,1.8997304440139677,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Serotonin,Serotonin,metaValue[logSN],1.5999280014399637,-1.3211848348815853,3.7072273330239125,0.459901524375474,0.618147787764871,14,14,1.299964000719982,0.043332999999999844,0.043332999999999844
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Serotonin,Serotonin2,metaValue[logSN],1.5999280014399637,-1.3211848348815853,,0.459901524375474,0.618147787764871,14,14,1.299964000719982,0.043332999999999844,0.043332999999999844
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Tryptamine,Tryptamine,metaValue[logSN],1.0000000000000149,0.0136958894279152,2.7476873536726205,0.3847786103135142,1.2756055741107433,19,13,1.0000000000000073,0.06000000000000005,0.046666000000000096
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Tryptamine,Tryptamine2,metaValue[logSN],1.0000000000000149,0.0136958894279152,,0.3847786103135142,1.2756055741107433,19,13,1.0000000000000073,0.06000000000000005,0.046666000000000096
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Tryptophan,Tryptophan,,1.3333499999999987,-0.0020349772874927647,431.05949765709374,5.045334750472411,151.72784613197274,54,14,1.2692405326194836,0.17666699999999969,0.050000000000000266
20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,Unknown,Tryptophan,Tryptophan2,,1.3333499999999987,-0.0020349772874927647,,5.045334750472411,151.72784613197274,54,14,1.2692405326194836,0.17666699999999969,0.050000000000000266
20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,Unknown,5-HTP,5-HTP,,1.2307426039599298,-0.02313742939041873,95.68705700781328,3.207899767737652,23.83558863122599,36,14,1.1428525510531993,0.11666700000000008,0.04999999999999982
20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,Unknown,5-HTP,5-HTP2,,1.2307426039599298,-0.02313742939041873,,3.207899767737652,23.83558863122599,36,14,1.1428525510531993,0.11666700000000008,0.04999999999999982
20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,Unknown,5-hydroxyindole,5-hydroxyindole,,1.142795920116625,-0.06822734598118611,0.062111679464578615,0.914798819526172,2.0695209303873345,16,11,1.0713979600583123,0.04999999999999982,0.040000000000000036
