File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/203.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_cleaning
Injection Number	56
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_Cleaning
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	20:06:02
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007783
Time Max. (min)	30.005450
Data Points	2873
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-119,096.000000
Signal Max.	320,746,501.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.627

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
1.685450	0.640	-70,563.000000
1.696117	0.640	-58,565.000000
1.706783	0.640	-64,231.000000
1.717450	0.640	-73,642.000000
1.728117	0.640	-72,435.000000
1.738783	0.640	-66,900.000000
1.749450	0.640	-61,252.000000
1.760117	0.640	-54,740.000000
1.770783	0.640	-57,619.000000
1.781450	0.640	-66,569.000000
1.792117	0.640	-61,096.000000
1.802783	0.640	-49,318.000000
1.813450	0.640	-44,015.000000
1.824117	0.640	-31,683.000000
1.834783	0.640	-22,932.000000
1.845450	0.640	-44,165.000000
1.856117	0.640	-79,050.000000
1.866783	0.640	-89,257.000000
1.877450	0.640	-67,136.000000
1.888117	0.640	-39,727.000000
1.898783	0.640	-29,037.000000
1.909450	0.640	-27,259.000000
1.920117	0.640	-29,029.000000
1.930783	0.640	-42,159.000000
1.941450	0.640	-52,685.000000
1.952117	0.640	-47,013.000000
1.962783	0.640	-44,636.000000
1.973450	0.640	-56,663.000000
1.984117	0.640	-58,831.000000
1.994783	0.640	-35,361.000000
2.005450	0.640	-10,633.000000
2.016117	0.640	-6,961.000000
2.026783	0.640	-15,624.000000
2.037450	0.640	-29,046.000000
2.048117	0.640	-38,509.000000
2.058783	0.640	-31,058.000000
2.069450	0.640	-22,422.000000
2.080117	0.640	-27,290.000000
2.090783	0.640	-36,271.000000
2.101450	0.640	-50,580.000000
2.112117	0.640	-68,983.000000
2.122783	0.640	-74,074.000000
2.133450	0.640	-64,404.000000
2.144117	0.640	-54,928.000000
2.154783	0.640	-49,636.000000
2.165450	0.640	-42,815.000000
2.176117	0.640	-43,174.000000
2.186783	0.640	-59,022.000000
2.197450	0.640	-70,186.000000
2.208117	0.640	-61,037.000000
2.218783	0.640	-50,388.000000
2.229450	0.640	-57,582.000000
2.240117	0.640	-68,959.000000
2.250783	0.640	-63,088.000000
2.261450	0.640	-41,324.000000
2.272117	0.640	-9,981.000000
2.282783	0.640	22,426.000000
2.293450	0.640	32,377.000000
2.304117	0.640	14,822.000000
2.314783	0.640	-2,723.000000
2.325450	0.640	-8,113.000000
2.336117	0.640	-20,289.000000
2.346783	0.640	-49,487.000000
2.357450	0.640	-72,805.000000
2.368117	0.640	-58,317.000000
2.378783	0.640	-16,695.000000
2.389450	0.640	7,108.000000
2.400117	0.640	-849.000000
2.410783	0.640	-17,793.000000
