sample_name,sample_group_name,sequence_segment_name,sample_type,filename
No_13,A_0,sequence4,Unknown,No_13
No_14,A_0.33,sequence4,Unknown,No_14
No_15,A_1,sequence4,Unknown,No_15
No_16,A_5,sequence4,Unknown,No_16
No_17,A_30,sequence4,Unknown,No_17
No_18,B_0,sequence4,Unknown,No_18
No_19,B_0.33,sequence4,Unknown,No_19
No_20,B_1,sequence4,Unknown,No_20
No_21,B_5,sequence4,Unknown,No_21
No_22,B_30,sequence4,Unknown,No_22
No_23,C_0,sequence4,Unknown,No_23
No_24,C_0.33,sequence4,Unknown,No_24
No_25,C_1,sequence4,Unknown,No_25
No_26,C_5,sequence4,Unknown,No_26
No_27,C_30,sequence4,Unknown,No_27
No_28,D_0,sequence4,Unknown,No_28
No_29,D_0.33,sequence4,Unknown,No_29
No_30,D_1,sequence4,Unknown,No_30
No_31,D_5,sequence4,Unknown,No_31
No_32,D_30,sequence4,Unknown,No_32
No_33,E_0,sequence4,Unknown,No_33
No_34,E_0.33,sequence4,Unknown,No_34
No_35,E_1,sequence4,Unknown,No_35
No_36,E_5,sequence4,Unknown,No_36
No_37,E_30,sequence4,Unknown,No_37
No_38,F_0,sequence4,Unknown,No_38
No_39,F_0.33,sequence4,Unknown,No_39
No_40,F_1,sequence4,Unknown,No_40
No_41,F_5,sequence4,Unknown,No_41
No_42,F_30,sequence4,Unknown,No_42
No_46,G_0,sequence4,Standard,No_46
No_47,G_0.33,sequence4,Standard,No_47
No_48,G_1,sequence4,Standard,No_48
No_49,G_5,sequence4,Standard,No_49
No_50,G_30,sequence4,Standard,No_50
No_54,H _0,sequence4,Standard,No_54
No_55,H _0.33,sequence4,Standard,No_55
No_56,H _1,sequence4,Standard,No_56
No_57,H _5,sequence4,Standard,No_57
No_58,H _30,sequence4,Standard,No_58
No_62,I _0,sequence4,Standard,No_62
No_63,I _0.33,sequence4,Standard,No_63
No_64,I _1,sequence4,Standard,No_64
No_65,I _5,sequence4,Standard,No_65
No_66,I _30,sequence4,Standard,No_66
No_70,J_0,sequence4,Standard,No_70
No_71,J_0.33,sequence4,Standard,No_71
No_72,J_1,sequence4,Standard,No_72
No_73,J_5,sequence4,Standard,No_73
No_74,J_30,sequence4,Standard,No_74
No_78,K_0,sequence4,Standard,No_78
No_79,K_0.33,sequence4,Standard,No_79
No_80,K_1,sequence4,Standard,No_80
No_81,K_5,sequence4,Standard,No_81
No_82,K_30,sequence4,Standard,No_82
No_86,L_0,sequence4,Standard,No_86
No_87,L_0.33,sequence4,Standard,No_87
No_88,L_1,sequence4,Standard,No_88
No_89,L_5,sequence4,Standard,No_89
No_90,L_30,sequence4,Standard,No_90
