File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/260.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BC3
Injection Number	40
Position	BC3
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	10:14:30
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005433
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-25,972.000000
Signal Max.	248,282,971.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
1.738767	0.640	1,080.000000
1.749433	0.640	2,166.000000
1.760100	0.640	658.000000
1.770767	0.640	-2,852.000000
1.781433	0.640	-3,834.000000
1.792100	0.640	-1,239.000000
1.802767	0.640	805.000000
1.813433	0.640	-513.000000
1.824100	0.640	-3,683.000000
1.834767	0.640	-3,188.000000
1.845433	0.640	2,822.000000
1.856100	0.640	7,917.000000
1.866767	0.640	7,672.000000
1.877433	0.640	4,419.000000
1.888100	0.640	2,174.000000
1.898767	0.640	3,203.000000
1.909433	0.640	5,254.000000
1.920100	0.640	4,225.000000
1.930767	0.640	586.000000
1.941433	0.640	-1,378.000000
1.952100	0.640	102.000000
1.962767	0.640	1,936.000000
1.973433	0.640	1,142.000000
1.984100	0.640	-116.000000
1.994767	0.640	2,203.000000
2.005433	0.640	6,652.000000
2.016100	0.640	8,148.000000
2.026767	0.640	6,384.000000
2.037433	0.640	4,941.000000
2.048100	0.640	3,105.000000
2.058767	0.640	-3,753.000000
2.069433	0.640	-12,661.000000
2.080100	0.640	-13,647.000000
2.090767	0.640	-5,527.000000
2.101433	0.640	2,696.000000
2.112100	0.640	3,517.000000
2.122767	0.640	-2,252.000000
2.133433	0.640	-7,673.000000
2.144100	0.640	-7,838.000000
2.154767	0.640	-3,875.000000
