component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Phenylalanine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Isoleucine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Leucine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Lysine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Aspartate2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glutamate2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Cysteine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Asparagine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Serine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glutamine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Histidine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glycine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Threonine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Arginine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Alanine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Tyrosine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
2-aminobutyrate2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
GhostPeak2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Valine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Methionine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Tryptophan2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Phenylalanine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Isoleucine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Leucine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Lysine2,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
