component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Aspartate,0,10,0,10,1,10,1,10,0,10,1,10,,,,,2.154,4.154,0,1.00E+15,-500,1.00E+12
Glutamate,0,10,0,10,1,10,1,10,0,10,1,10,,,,,3.732,5.732,0,1.00E+15,-500,1.00E+12
Cysteine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,5.439,7.439,0,1.00E+15,-500,1.00E+12
Asparagine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,6.932,8.932,0,1.00E+15,-500,1.00E+12
Serine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,7.754,9.754,0,1.00E+15,-500,1.00E+12
Glutamine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,8.692,10.692,0,1.00E+15,-500,1.00E+12
Histidine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,9.066,11.066,0,1.00E+15,-500,1.00E+12
Glycine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,10.09,12.09,0,1.00E+15,-500,1.00E+12
Threonine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,10.335,12.335,0,1.00E+15,-500,1.00E+12
Arginine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,10.996,12.996,0,1.00E+15,-500,1.00E+12
Alanine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,12.959,14.959,0,1.00E+15,-500,1.00E+12
Tyrosine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,14.9,16.9,0,1.00E+15,-500,1.00E+12
2-aminobutyrate,0,10,0,10,1,10,1,10,0,10,1,10,,,,,15.604,17.604,0,1.00E+15,-500,1.00E+12
GhostPeak,0,10,0,10,1,10,1,10,0,10,1,10,,,,,17.343,19.343,0,1.00E+15,-500,1.00E+12
Valine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,17.663,19.663,0,1.00E+15,-500,1.00E+12
Methionine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,18.111,20.111,0,1.00E+15,-500,1.00E+12
Tryptophan,0,10,0,10,1,10,1,10,0,10,1,10,,,,,20.212,22.212,0,1.00E+15,-500,1.00E+12
Phenylalanine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,21.535,23.535,0,1.00E+15,-500,1.00E+12
Isoleucine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,22.239,24.239,0,1.00E+15,-500,1.00E+12
Leucine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,23.551,25.551,0,1.00E+15,-500,1.00E+12
Lysine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,24.02,26.02,0,1.00E+15,-500,1.00E+12
