sample_name,sample_group_name,sequence_segment_name,sample_type,filename
Blank_IS_1_Emission_1,group1,sequence1,Unknown,Blank_IS_1
Blank_IS_2_Emission_1,group1,sequence1,Unknown,Blank_IS_2
AAmix_0p1ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_0p1ug_mL_1
AAmix_0p25ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_0p25ug_mL_1
AAmix_0p5ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_0p5ug_mL_1
AAmix_1ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_1ug_mL_1
AAmix_2p5ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_2p5ug_mL_1
AAmix_5ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_5ug_mL_1
AAmix_10ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_10ug_mL_1
AAmix_25ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_25ug_mL_1
AAmix_50ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_50ug_mL_1
AAmix_75ug_mL_1_Emission_1,group1,sequence1,Standard,AAmix_75ug_mL_1
Blank_IS_3_Emission_1,group1,sequence1,Unknown,Blank_IS_3
20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA1
20180320_Lars Nielsen samples Vienna_dx20_BA2_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA2
20180320_Lars Nielsen samples Vienna_dx20_BA3_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA3
20180320_Lars Nielsen samples Vienna_dx20_BA4_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA4
20180320_Lars Nielsen samples Vienna_dx20_BA5_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA5
20180320_Lars Nielsen samples Vienna_dx20_BA6_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA6
20180320_Lars Nielsen samples Vienna_dx20_BA7_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA7
20180320_Lars Nielsen samples Vienna_dx20_BA8_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA8
20180320_Lars Nielsen samples Vienna_dx20_BA9_Emission_1,group1,sequence1,Unknown,20180320_Lars Nielsen samples Vienna_dx20_BA9
