ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
F1_6BP,,F1_6BP,F1_6BP_M0,10.3,,338.988,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
P-glyco,,P-glyco,P-glyco_M0,10.8,,154.975,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
PEP,,PEP,PEP_M0,10.8,,166.975,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
G2P,,G2P,G2P_M0,11.1,,168.99,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
DHAP,,DHAP,DHAP_M0,11.1,,168.99,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
2PGA,,2PGA,2PGA_M0,11.2,,184.985,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
3PGA,,3PGA,3PGA_M0,11.4,,184.985,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
2G-olP,,2G-olP,2G-olP_M0,11.4,,171.006,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
3G-olP,,3G-olP,3G-olP_M0,11.4,,171.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
R5P,,R5P,R5P_M0,11.8,,229.011,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
E4P,,E4P,E4P_M0,11.8,,199.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Ru5P,,Ru5P,Ru5P_M0,11.8,,229.011,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
F6P,,F6P,F6P_M0,12.1,,259.022,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
G6P,,G6P,G6P_M0,12.2,,259.022,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
6PG,,6PG,6PG_M0,12.3,,275.017,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
S7P,,S7P,S7P_M0,12.4,,289.032,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
aKG,,aKG,aKG_M0_A,12.9,,145.014,Unit,101,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
HYPR,,HYPR,HYPR_M0,16,,103.003,Unit,59,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
FUM,,FUM,FUM_M0_A,16.1,,115.003,Unit,71,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
CITx,,CITx,CITx_M0_A,16.7,,191.019,Unit,111,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
MAL,,MAL,MAL_M0,16.8,,133.014,Unit,115,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
AMP,,AMP,AMP_M0,17.9,,346.055,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
SUC,,SUC,SUC_M0_A,19,,117.019,Unit,73,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
F1_6BP,,F1_6BP,F1_6BP_M02,10.3,,338.988,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
P-glyco,,P-glyco,P-glyco_M02,10.8,,154.975,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
PEP,,PEP,PEP_M02,10.8,,166.975,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
G2P,,G2P,G2P_M02,11.1,,168.99,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
DHAP,,DHAP,DHAP_M02,11.1,,168.99,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
2PGA,,2PGA,2PGA_M02,11.2,,184.985,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
3PGA,,3PGA,3PGA_M02,11.4,,184.985,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
2G-olP,,2G-olP,2G-olP_M02,11.4,,171.006,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
3G-olP,,3G-olP,3G-olP_M02,11.4,,171.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
R5P,,R5P,R5P_M02,11.8,,229.011,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
E4P,,E4P,E4P_M02,11.8,,199.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Ru5P,,Ru5P,Ru5P_M02,11.8,,229.011,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
F6P,,F6P,F6P_M02,12.1,,259.022,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
G6P,,G6P,G6P_M02,12.2,,259.022,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
6PG,,6PG,6PG_M02,12.3,,275.017,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
S7P,,S7P,S7P_M02,12.4,,289.032,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
aKG,,aKG,aKG_M0_A2,12.9,,145.014,Unit,101,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
HYPR,,HYPR,HYPR_M02,16,,103.003,Unit,59,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
FUM,,FUM,FUM_M0_A2,16.1,,115.003,Unit,71,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
CITx,,CITx,CITx_M0_A2,16.7,,191.019,Unit,111,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
