component_name,component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_var_xcorr_coelution_l,metaValue_var_xcorr_coelution_u,metaValue_var_xcorr_coelution_weighted_l,metaValue_var_xcorr_coelution_weighted_u,metaValue_var_xcorr_shape_l,metaValue_var_xcorr_shape_u,metaValue_var_xcorr_shape_weighted_l,metaValue_var_xcorr_shape_weighted_u
F1_6BP_M0,F1_6BP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
P-glyco_M0,P-glyco,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
PEP_M0,PEP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
G2P_M0,G2P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
DHAP_M0,DHAP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2PGA_M0,2PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
3PGA_M0,3PGA,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
2G-olP_M0,2G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
3G-olP_M0,3G-olP,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
R5P_M0,R5P,0,10,0,10,1,10,2,10,0,10,2,10,,,,,0,100,100,5.00E+06,0,1.00E+06,100,5.00E+06,0.9,1.00E+06,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,1.00E+09
