sample_name,sample_group_name,sequence_segment_name,sample_type,filename
Std_25uM,Standard,sequence1,Standard,Std_25uM
Std_6-25uM,Standard,sequence1,Standard,Std_6-25uM
Std_1-25uM,Standard,sequence1,Standard,Std_1-25uM
25uM,Standard,sequence1,Standard,25uM
12-5uM,Standard,sequence1,Standard,12-5uM
6-24uM,Standard,sequence1,Standard,6-24uM
1-56uM,Standard,sequence1,Standard,1-56uM
