component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Sarcosine,0,10,0,10,0,10,0,10,0,10,0,10,,,,,2.154,4.154,-1.00E+12,1.00E+15,-1.00E+12,1.00E+12
Proline,0,10,0,10,0,10,0,10,0,10,0,10,,,,,3.732,5.732,-1.00E+12,1.00E+15,-1.00E+12,1.00E+12
