component_group_name,component_name,meta_value,170808_Jonathan_yeast_Sacc1_1x,170808_Jonathan_yeast_Sacc2_1x,170808_Jonathan_yeast_Sacc3_1x
accoa,accoa.accoa_1.Light,calculated_concentration,1.33329823352,2.38192517246,1.96455720891
adp,adp.adp_1.Light,calculated_concentration,1.6779074469,3.53202419186,2.83678629539
akg,akg.akg_1.Light,calculated_concentration,7.48534484606,3.60448179438,3.04969989328
amp,amp.amp_1.Light,calculated_concentration,5.8365084839,2.99450151991,1.99562438673
arg-L,arg-L.arg-L_1.Light,calculated_concentration,nan,88.533611803,36.1456734898
asn-L,asn-L.asn-L_1.Light,calculated_concentration,3.63242669292,8.20068252473,3.10925841255
atp,atp.atp_1.Light,calculated_concentration,15.1853218066,27.5585645674,14.2502806735
camp,camp.camp_1.Light,calculated_concentration,0.00857952167457,0.00119939873898,0.0013706157494
cit,cit.cit_1.Light,calculated_concentration,25.6842303414,29.1753890942,26.6955945144
coa,coa.coa_1.Light,calculated_concentration,0.0721931563639,0.312575362548,0.0884734553078
f6p,f6p.f6p_1.Light,calculated_concentration,0.230993972635,1.22502919943,0.884495522808
fdp,fdp.fdp_1.Light,calculated_concentration,nan,5.4874869762,nan
g6p,g6p.g6p_1.Light,calculated_concentration,5.81725350323,8.15618070674,7.16453950674
glu-L,glu-L.glu-L_1.Light,calculated_concentration,63.9039728343,nan,54.783448583
his-L,his-L.his-L_1.Light,calculated_concentration,4.74602094125,11.6825619581,7.63748173321
nad,nad.nad_1.Light,calculated_concentration,1.98708085216,4.43487889232,2.09395182819
nadh,nadh.nadh_1.Light,calculated_concentration,0.108259852603,0.098126129728,0.0769193268922
nadp,nadp.nadp_1.Light,calculated_concentration,0.346064750561,0.736982297607,0.394822503787
nadph,nadph.nadph_1.Light,calculated_concentration,0.0170326703863,0.0402298418893,0.0263666938196
pyr,pyr.pyr_1.Light,calculated_concentration,nan,nan,13.0083390115
r5p,r5p.r5p_1.Light,calculated_concentration,0.436986010994,0.192245847551,0.542704166431
ru5p-D,ru5p-D.ru5p-D_1.Light,calculated_concentration,1.82341601551,nan,1.06523965513
s7p,s7p.s7p_1.Light,calculated_concentration,1.15332186057,1.48643826309,1.14590636245
ser-L,ser-L.ser-L_1.Light,calculated_concentration,16.1242118698,19.9958541624,18.9883259488
succ,succ.succ_1.Light,calculated_concentration,7.56515021882,3.76236557047,3.50926055522
trp-L,trp-L.trp-L_1.Light,calculated_concentration,0.139723326231,0.252152425156,0.187407962527
tyr-L,tyr-L.tyr-L_1.Light,calculated_concentration,2.3836150094,2.56783942348,2.53004339196
