sample_name,sample_type,component_group_name,component_name,QC_transition_group_message,QC_transition_group_score,QC_transition_message,QC_transition_pass,QC_transition_score,asymmetry_factor,baseline_delta_2_height,calculated_concentration,logSN,peak_apex_int,points_across_baseline,points_across_half_height,tailing_factor,total_width,width_at_50
170808_Jonathan_yeast_Sacc1_1x,Unknown,23dpg,23dpg.23dpg_1.Heavy,n_light,0.8888888888888888,,1,1.0,0.8212267958030512,-0.09997961091142966,,3.528661934852123,249.46566303648848,10,6,0.9106133979015256,9.025999999999954,7.06899999999996
170808_Jonathan_yeast_Sacc1_1x,Unknown,23dpg,23dpg.23dpg_1.Light,n_light,0.8888888888888888,,1,1.0,0.8212267958030512,0.2363184385320949,,2.985161627607784,3406.6105771827315,10,4,0.9106133979015256,9.025999999999954,5.069999999999936
170808_Jonathan_yeast_Sacc1_1x,Unknown,5oxpro,5oxpro.5oxpro_1.Heavy,n_light,0.8888888888888888,,1,1.0,1.6320546737213464,-0.04057429110918833,,3.3426536937387006,8213.839095895293,45,15,1.4155260469867255,28.962999999999965,11.02000000000001
170808_Jonathan_yeast_Sacc1_1x,Unknown,5oxpro,5oxpro.5oxpro_1.Light,n_light,0.8888888888888888,,1,1.0,1.7035750766087934,-0.06787457779249641,,2.2926557342332345,8004.541162171578,45,19,1.479213483146071,28.962999999999965,13.556000000000012
170808_Jonathan_yeast_Sacc1_1x,Unknown,5oxpro,5oxpro.5oxpro_2.Light,n_light,0.8888888888888888,,1,1.0,18.04700854700857,,,2.307189848430644,3818.6101769794027,45,14,9.955128205128233,28.962999999999965,10.322000000000003
170808_Jonathan_yeast_Sacc1_1x,Unknown,6pgc,6pgc.6pgc_1.Heavy,n_light,0.8888888888888888,,1,1.0,2.6747774480712496,-0.549776209475074,,1.0312978769591643,4231.698879448395,16,10,1.8373887240356248,12.384000000000128,8.273000000000025
170808_Jonathan_yeast_Sacc1_1x,Unknown,6pgc,6pgc.6pgc_1.Light,n_light,0.8888888888888888,,1,1.0,0.8667470605969082,0.33126816924242286,,2.1859151868061018,10964.246087973537,16,12,0.933373530298454,12.384000000000128,10.683000000000106
170808_Jonathan_yeast_Sacc1_1x,Unknown,Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_1.Heavy,n_light,0.8888888888888888,,1,1.0,1.2276048443599243,0.3246719565431757,,1.7836311650815673,68989.0839272804,28,25,1.1138024221799623,22.255999999999972,20.585000000000036
170808_Jonathan_yeast_Sacc1_1x,Unknown,Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_1.Light,n_light,0.8888888888888888,,1,1.0,0.7877741184030888,0.2736995982445873,,1.3161184125277858,20854.41130545943,28,24,0.8938870592015443,22.255999999999972,19.749000000000024
170808_Jonathan_yeast_Sacc1_1x,Unknown,Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_2.Light,n_light,0.8888888888888888,,1,1.0,0.830645161290323,0.4258655253645559,,3.9495198636981663,33301.95216653291,28,22,0.9153225806451615,22.255999999999972,18.944999999999936
170808_Jonathan_yeast_Sacc1_1x,Unknown,accoa,accoa.accoa_1.Heavy,n_light,0.8888888888888888,,1,1.0,1.815731973780015,-0.01982302481171652,,3.8007093330438253,857275.094201934,67,6,1.701178566534186,46.76599999999985,6.401000000000181
170808_Jonathan_yeast_Sacc1_1x,Unknown,accoa,accoa.accoa_1.Light,n_light,0.8888888888888888,,1,1.0,1.7031934877895478,-0.05753355386565251,1.3332982335206802,4.3308167189050195,211067.14469918533,67,6,1.8551459503905696,46.76599999999985,6.401000000000181
170808_Jonathan_yeast_Sacc1_1x,Unknown,acon-C,acon-C.acon-C_1.Heavy,n_light,0.8888888888888888,,1,1.0,0.761726078799203,0.23079850455815615,,4.479905884970251,24775.841482203512,8,6,0.8808630393996015,5.6340000000000146,4.816999999999894
170808_Jonathan_yeast_Sacc1_1x,Unknown,acon-C,acon-C.acon-C_1.Light,n_light,0.8888888888888888,,1,1.0,0.761726078799203,0.26000168511583804,,2.066923586825819,310688.9426521004,8,7,0.8808630393996015,5.6340000000000146,5.6340000000000146
170808_Jonathan_yeast_Sacc1_1x,Unknown,acon-C,acon-C.acon-C_2.Light,n_light,0.8888888888888888,,1,1.0,0.4130925507900833,0.8103025447144266,,4.201153800643613,383960.31683856726,8,5,0.7065462753950417,5.6340000000000146,4.027999999999906
