component_group_name,component_name,meta_value,20180320_Lars Nielsen samples Vienna_dx20_BA10_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA11_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA6_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA7_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA8_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA9_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB10_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB11_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB6_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB7_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB8_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB9_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC3_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC4_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC5_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC6_Emission_1,AAmix_0p1ug_mL_1_Emission_1,AAmix_0p1ug_mL_2_Emission_1,AAmix_0p25ug_mL_1_Emission_1,AAmix_0p25ug_mL_2_Emission_1,AAmix_0p5ug_mL_1_Emission_1,AAmix_0p5ug_mL_2_Emission_1,AAmix_10ug_mL_1_Emission_1,AAmix_10ug_mL_2_Emission_1,AAmix_1ug_mL_1_Emission_1,AAmix_1ug_mL_2_Emission_1,AAmix_25ug_mL_1_Emission_1,AAmix_25ug_mL_2_Emission_1,AAmix_2p5ug_mL_1_Emission_1,AAmix_2p5ug_mL_2_Emission_1,AAmix_50ug_mL_1_Emission_1,AAmix_50ug_mL_2_Emission_1,AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_2_Emission_1,AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_2_Emission_1,Blank_IS_1_Emission_1,Blank_IS_2_Emission_1,Blank_IS_3_Emission_1,Blank_IS_4_Emission_1,Blank_IS_5_Emission_1,Blank_IS_cleaning_Emission_1
2-aminobutyrate,2-aminobutyrate,calculated_concentration,94.5705510736,95.6975666997,93.1902378909,40.1424849152,0.295197444242,26.0051852586,80.5352207693,89.1943378435,0.75710930883,14.00742624,8.88054078532,16.5243420044,4.53659446747,18.0804817332,12.1864067136,20.195319858,0.223830223102,18.5927164233,19.5661087908,0.147037620618,1.03037878049,11.6555610408,17.8804381614,1.08305726659,17.7659046267,6.59962355855,19.6502573098,5.71719954031,16.5534363711,166.714765159,0.105348221765,2.14419016007,0.491172523133,1.93851381654,0.0595658167902,0.295200690726,28.241259231,1.28867601221,1.08307205384,0.105348221765,29.2999093594,1.18682431739,16.3203467224,1.84559591538,41.8527389225,56.3675754648,5.36721922641,9.39322768382,11.7182799898,23.3222640444,nan,2.07612015429,0.395836045104,0.896021526936,1.63268964646,0.295194197751
Alanine,Alanine,calculated_concentration,46.1491516836,48.9288715939,47.5258532525,66.3086780189,111.175698154,76.0878505673,75.4537391465,81.60955125,7.15152675928,0.190264282641,233.517316858,25.5546518613,0.891363829757,19.2346861486,2.79620195259,6.08409937654,4.56166345111,5.71032779442,16.6566476612,0.568264398722,24.3071524489,4.74873682256,1.85823331022,0.649096084977,19.9520391902,3.54562391512,18.4640569109,18.703272006,0.352460717191,22.1831390768,185.070243971,28.101894234,310.961039626,nan,nan,nan,0.325459808458,1.50940034349,nan,nan,0.676031501407,9.36443158062,2.6622932119,nan,50.6757825089,47.8170556804,4.64186174318,2.39439990305,76.774894692,76.4578248552,3.06391055805,51.7608354878,57.1849524623,52.2107550628,52.6870438141,84.0396534878
Arginine,Arginine,calculated_concentration,64.1814692694,43.9832868107,39.7705993033,45.9530819303,117.891637107,23.7768971221,52.1917670485,30.9435078599,24.5506428092,47.1040803385,45.0311772293,24.1728081445,31.4946432923,44.5816210561,17.9503711356,34.46482576,nan,31.6722155819,46.8239867076,14.198793693,35.5192194524,50.9545278065,17.9505434118,14.198793693,nan,19.5641032664,55.5700355359,50.5068807866,44.3186087633,31.3140088776,91.507941404,94.0596649787,111.350938383,111.821231773,130.618167835,132.244670956,17.9505434118,31.3140597553,nan,nan,26.2248582302,25.2594958969,nan,nan,70.7849777682,42.7104041125,nan,50.3702093375,78.6859821474,78.9593691139,26.2249157528,69.2415622245,70.3910197027,72.5545710176,72.9779301042,nan
Asparagine,Asparagine,calculated_concentration,3.19466638565,4.19733285904,11.9999923706,4.9439997673,4.6719994545,3.18398189545,4.4266667366,nan,3.285333395,3.01867103577,4.54933309555,4.84800004959,4.54933357239,4.57066631317,4.9439997673,4.03200006485,nan,4.04799985886,nan,3.41333293915,3.57866597176,3.41866660118,nan,3.63733291626,nan,4.25066661835,nan,nan,3.51466655731,3.30666661263,16.3466663361,17.7546653748,36.0106658936,36.5226669312,72.6399993896,74.0906677246,1.05066096783,nan,nan,nan,3.2479994297,nan,nan,nan,6.8266658783,6.57600021362,nan,nan,10.6186666489,10.3839998245,nan,29.1626663208,3.445333004,4.38933372498,3.87733197212,nan
Aspartate,Aspartate,calculated_concentration,nan,0.000643478367549,nan,0.127614803954,nan,nan,nan,nan,0.0150550905198,nan,nan,nan,0.0524608123635,nan,nan,nan,nan,nan,nan,nan,0.01398516283,nan,nan,nan,nan,nan,nan,nan,nan,0.0999479243334,0.103253728992,0.105570108718,0.227709842655,2.69693061566e-05,0.48124620811,0.470212108045,nan,0.116430238779,1.08557989556,1.02501112673,nan,nan,nan,0.0992836331734,nan,nan,0.0257484487092,nan,0.0398117084926,nan,nan,0.0100437593988,0.0402102109198,0.0165219460629,0.0195641248587,nan
Cysteine,Cysteine,calculated_concentration,0.0205507756043,0.00926857397895,0.0347338235899,0.231309693884,0.50120810459,0.320193113896,0.164299297861,0.111305154871,0.172222178522,0.539536164882,0.402136128844,0.348554952364,0.0207419410973,0.0255710337296,0.0394379000649,0.130975385084,0.0914654627872,0.231310356726,0.134680675971,0.0645472299874,0.00323860343625,0.0764322485184,0.0713636239739,0.0480857494855,0.0356344859042,0.00452571103704,0.0401040888481,4069789.73589,5602394.04725,5656896.20809,0.122953706187,0.0781881902393,3.14987765579,27.6557448368,8312.18829002,3595.37037676,5.60815228517e-05,0.0016340150134,775001.771992,242138.024963,0.0492725434922,0.0921427039137,4.0427996449,3.12282111797,1.14829597614,0.140405909255,4.26601630576,4.88008755067,0.297465949161,498.999087359,nan,nan,7.24620411185,nan,4.31898389349,nan
GhostPeak,GhostPeak,calculated_concentration,60.1621255669,60.6220337758,57.7650281029,67.1922287553,60.1110465234,62.4644072807,62.259483147,10.0634531788,61.4403133235,30.7846767236,534.116107854,33.5055641631,618.866905409,5.42945714577,558.489177631,4.34298917246,61.9521911769,59.4983236426,585.766281651,58.6821504805,543.733042451,531.136095076,58.5292151688,587.359933006,1.1288264283,567.407650415,60.4687045175,0.0252475375048,56.8999290096,59.4983190793,251.338483037,242.303127127,61.1333517837,55.3758565419,61.3379867844,54.6150699957,538.618373535,58.4782301533,1.16604713124,0.9808991652,37.6198963469,485.276146052,2.04457524338,432.817180174,64.6193437192,76.4662435429,0.342027171726,0.0252475375048,69.5145724728,66.9345846972,1.2408068569,44.5065469736,58.42727603,56.2899062037,56.5948496443,0.113908216163
Glutamate,Glutamate,calculated_concentration,10.7359886169,12.0213212967,nan,9.04533290863,8.9653339386,nan,5.89333200455,12.5813512802,6.05866670609,7.80800008774,8.17600059509,nan,8.47999954224,8.74133396149,9.42933273315,8.59733390808,nan,nan,8.6453332901,8.70933628082,3.80800008774,9.22132968903,8.52266311646,8.03733062744,10.5493345261,10.1440019608,11.5039978027,4.27197360992,4.94397211075,12.0906667709,14.2559995651,14.373333931,29.9946689606,29.2639980316,58.2293357849,58.5813331604,7.79733228683,nan,8.74666595459,2.41074204445,2.63999938965,8.38933372498,8.45866584778,8.13333511353,5.34400033951,5.16266679764,8.5280008316,8.70400047302,8.46933269501,8.52799987793,nan,3.45600056648,3.68533396721,3.39733338356,4.39010429382,nan
Glutamine,Glutamine,calculated_concentration,85.2821769275,79.7024160938,86.4544677939,63.1138326715,58.1740964154,63.1924801087,nan,13.154892655,nan,13.9069281623,2.00642483798,20.0139307129,45.1775000933,45.4488221081,48.0622333483,2600.35283053,2661.67387825,2333.8915733,nan,17.31996966,16.8369714582,14.5137532954,nan,16.2310433592,29.063234404,16.0170463374,nan,nan,13.9470227089,19.638503727,241.492667821,193.397873626,958.421474601,1021.94721242,3317.41864323,3356.11774048,14.1886711554,10.2297990798,2351.5971428,2146.85918645,31.0973268209,20.3925306709,11.6698519919,nan,41.847438687,39.2654650066,5.20422422483,nan,89.0953211198,88.9120752331,nan,3.47120574922,2.43045771324,11.8185953155,16.8806383451,205.210354775
Glycine,Glycine,calculated_concentration,4.6268890762,5.68289752871,6.89017617241,665.775847415,749.023634864,731.209975123,0.162527322154,2.85148310627,nan,0.394950476053,0.206666318828,nan,nan,0.189742157054,nan,0.64568782328,nan,0.583252157882,0.288171445763,0.153966446186,nan,0.591960584085,nan,nan,nan,nan,1.23870821161,0.549110013134,0.650279817791,0.100953571424,1344.89415946,1587.57069999,3635.48422138,719.733020153,2895.00872594,3134.58088579,3.12434560612,0.0146396675762,1.01012255307,24.0140258306,10.5185039376,4.84233931708,2.46733469168,nan,50.7326696441,49.4299496637,0.930185919453,0.536584810419,7.30724660802,4.49062091737,0.0177552220595,396.011233965,488.867737563,493.847360469,536.059826883,78.7689136684
