sample_name,sample_type,component_group_name,component_name,QC_transition_message,asymmetry_factor,baseline_delta_2_height,calculated_concentration,logSN,peak_apex_int,points_across_baseline,points_across_half_height,tailing_factor,total_width,width_at_50
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,lac-L,lac-L.lac-L_1.Heavy,,1.2438373048479916,0.004811541466012061,,4.688278426952469,285593.6735366523,76,11,1.137000341646741,0.5886500000000003,0.09396666666666675
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,lac-L,lac-L.lac-L_1.Light,,1.4358764573532417,0.02046848909668378,,3.8664650681313373,2805644.7468946064,76,13,1.3345531914893598,0.5886500000000003,0.11041666666666705
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,lac-L,lac-L.lac-L_2.Light,,1.4358764573532417,0.018310465280232693,,3.9123348953480837,435495.36981947994,76,12,1.3755744680851056,0.5886500000000003,0.10236666666666672
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,mal-L,mal-L.mal-L_1.Heavy,metaValue[asymmetry_factor];metaValue[tailing_factor],3.8010774142058947,0.11070601277692589,,4.3842751607657675,798525.4570324044,44,11,2.155457073340277,0.46424999999999983,0.13321666666666587
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,mal-L,mal-L.mal-L_1.Light,metaValue[width_at_50],2.163902771467508,0.06666682402015343,,1.2708144668798236,371793.55671985226,44,40,1.581951385733754,0.46424999999999983,0.4260333333333328
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,malcoa,malcoa.malcoa_1.Light,,1.7639652420642535,0.1258518704671393,,2.974824148107127,4548.2654242291665,29,14,1.1923023385300724,0.2986333333333313,0.16028333333333222
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,met-L,met-L.met-L_1.Heavy,,1.8595948227349417,-0.0017967978789524771,,3.8956372141162063,12526.962032682599,37,8,1.3678977272727262,0.3893500000000001,0.09221666666666661
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,met-L,met-L.met-L_1.Light,,1.2651787856971453,0.0028655645201079226,,4.046250715891323,21964.411055289023,37,8,1.1945420715319421,0.3893500000000001,0.09221666666666661
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,mmal,mmal.mmal_1.Heavy,,1.2286925479696624,0.03540031551546858,,4.676772313244261,32242.12240224668,22,6,1.1005736137667372,0.2656333333333336,0.09058333333333302
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,Unknown,mmal,mmal.mmal_1.Light,metaValue[asymmetry_factor];metaValue[logSN];metaValue[width_at_50],0.6505799502899856,-0.13167133406739495,,0.9057473611719226,4230.7657053248695,22,22,0.8252899751449928,0.2656333333333336,0.2656333333333336
